State,Year,Quarter,District,RegisteredUser
chhattisgarh,2022,1,mahasamund district,185227
chhattisgarh,2022,2,dhamtari district,146066
chhattisgarh,2022,2,korba district,334672
chhattisgarh,2022,2,surajpur district,135353
chhattisgarh,2022,2,baloda bazar district,247634
chhattisgarh,2022,2,sukma district,41978
chhattisgarh,2022,2,raigarh district,425526
chhattisgarh,2022,2,janjgir champa district,414133
chhattisgarh,2022,2,jashpur district,138518
chhattisgarh,2022,2,balod district,147930
chhattisgarh,2022,2,kabirdham district,134783
chhattisgarh,2022,2,surguja district,206354
chhattisgarh,2022,2,dantewada district,60561
chhattisgarh,2022,2,gariyaband district,86939
chhattisgarh,2022,2,durg district,672947
chhattisgarh,2022,2,rajnandgaon district,278724
chhattisgarh,2022,2,raipur district,1093318
chhattisgarh,2022,2,narayanpur district,24061
chhattisgarh,2022,2,kanker district,141354
chhattisgarh,2022,2,korea district,134912
chhattisgarh,2022,2,mungeli district,97870
chhattisgarh,2022,2,bilaspur district,566475
chhattisgarh,2022,2,balrampur district,105948
chhattisgarh,2022,2,bijapur district,49168
chhattisgarh,2022,2,bemetara district,125096
chhattisgarh,2022,2,bastar district,150449
chhattisgarh,2022,2,kondagaon district,82174
chhattisgarh,2022,2,mahasamund district,195406
chhattisgarh,2022,3,dhamtari district,153263
chhattisgarh,2022,3,korba district,352198
chhattisgarh,2022,3,surajpur district,142407
chhattisgarh,2022,3,baloda bazar district,260632
chhattisgarh,2022,3,sukma district,44234
chhattisgarh,2022,3,raigarh district,448366
chhattisgarh,2022,3,janjgir champa district,436349
chhattisgarh,2022,3,jashpur district,145715
chhattisgarh,2022,3,balod district,155200
chhattisgarh,2022,3,kabirdham district,141814
chhattisgarh,2022,3,surguja district,217313
chhattisgarh,2022,3,dantewada district,63734
chhattisgarh,2022,3,gariyaband district,91335
chhattisgarh,2022,3,durg district,707241
chhattisgarh,2022,3,rajnandgaon district,292804
chhattisgarh,2022,3,raipur district,1150501
chhattisgarh,2022,3,narayanpur district,25375
chhattisgarh,2022,3,kanker district,148494
chhattisgarh,2022,3,korea district,141899
chhattisgarh,2022,3,mungeli district,102902
chhattisgarh,2022,3,bilaspur district,596003
chhattisgarh,2022,3,balrampur district,111448
chhattisgarh,2022,3,bijapur district,51796
chhattisgarh,2022,3,bemetara district,131384
chhattisgarh,2022,3,bastar district,158238
chhattisgarh,2022,3,kondagaon district,86322
chhattisgarh,2022,3,mahasamund district,205270
chhattisgarh,2022,4,dhamtari district,159411
chhattisgarh,2022,4,korba district,368179
chhattisgarh,2022,4,surajpur district,148130
chhattisgarh,2022,4,baloda bazar district,271259
chhattisgarh,2022,4,sukma district,46232
chhattisgarh,2022,4,raigarh district,468010
chhattisgarh,2022,4,janjgir champa district,455430
chhattisgarh,2022,4,jashpur district,151323
chhattisgarh,2022,4,balod district,160952
chhattisgarh,2022,4,kabirdham district,147742
chhattisgarh,2022,4,surguja district,226706
chhattisgarh,2022,4,dantewada district,66503
chhattisgarh,2022,4,gariyaband district,94815
chhattisgarh,2022,4,durg district,740173
chhattisgarh,2022,4,rajnandgaon district,304353
chhattisgarh,2022,4,raipur district,1205632
chhattisgarh,2022,4,narayanpur district,26527
chhattisgarh,2022,4,kanker district,154332
chhattisgarh,2022,4,korea district,147963
chhattisgarh,2022,4,mungeli district,106916
chhattisgarh,2022,4,bilaspur district,622644
chhattisgarh,2022,4,balrampur district,115804
chhattisgarh,2022,4,bijapur district,54230
chhattisgarh,2022,4,bemetara district,136066
chhattisgarh,2022,4,bastar district,164690
chhattisgarh,2022,4,kondagaon district,89611
chhattisgarh,2022,4,mahasamund district,213189
chhattisgarh,2023,1,dhamtari district,166518
chhattisgarh,2023,1,korba district,384883
chhattisgarh,2023,1,surajpur district,154951
chhattisgarh,2023,1,baloda bazar district,283757
chhattisgarh,2023,1,sukma district,48459
chhattisgarh,2023,1,raigarh district,489890
chhattisgarh,2023,1,janjgir champa district,476533
chhattisgarh,2023,1,jashpur district,158413
chhattisgarh,2023,1,balod district,168030
chhattisgarh,2023,1,kabirdham district,154630
chhattisgarh,2023,1,surguja district,237340
chhattisgarh,2023,1,dantewada district,69509
chhattisgarh,2023,1,gariyaband district,99065
chhattisgarh,2023,1,durg district,773280
chhattisgarh,2023,1,rajnandgaon district,317976
chhattisgarh,2023,1,raipur district,1260366
chhattisgarh,2023,1,narayanpur district,27764
chhattisgarh,2023,1,kanker district,161542
chhattisgarh,2023,1,korea district,154793
chhattisgarh,2023,1,mungeli district,111884
chhattisgarh,2023,1,bilaspur district,651084
chhattisgarh,2023,1,balrampur district,121253
chhattisgarh,2023,1,bijapur district,56723
chhattisgarh,2023,1,bemetara district,142329
chhattisgarh,2023,1,bastar district,172235
chhattisgarh,2023,1,kondagaon district,93464
chhattisgarh,2023,1,mahasamund district,222989
chhattisgarh,2023,2,dhamtari district,173844
chhattisgarh,2023,2,korba district,401398
chhattisgarh,2023,2,surajpur district,162267
chhattisgarh,2023,2,baloda bazar district,296661
chhattisgarh,2023,2,sukma district,50690
chhattisgarh,2023,2,raigarh district,511511
chhattisgarh,2023,2,janjgir champa district,497925
chhattisgarh,2023,2,jashpur district,166222
chhattisgarh,2023,2,balod district,175570
chhattisgarh,2023,2,kabirdham district,161970
chhattisgarh,2023,2,surguja district,248004
chhattisgarh,2023,2,dantewada district,72600
chhattisgarh,2023,2,gariyaband district,103917
chhattisgarh,2023,2,durg district,803101
chhattisgarh,2023,2,rajnandgaon district,332345
chhattisgarh,2023,2,raipur district,1308762
chhattisgarh,2023,2,narayanpur district,29067
chhattisgarh,2023,2,kanker district,169234
chhattisgarh,2023,2,korea district,161824
chhattisgarh,2023,2,mungeli district,117278
chhattisgarh,2023,2,bilaspur district,677776
chhattisgarh,2023,2,balrampur district,127318
chhattisgarh,2023,2,bijapur district,59368
chhattisgarh,2023,2,bemetara district,149164
chhattisgarh,2023,2,bastar district,179858
chhattisgarh,2023,2,kondagaon district,98296
chhattisgarh,2023,2,mahasamund district,233538
dadra-&-nagar-haveli-&-daman-&-diu,2018,1,diu district,2553
dadra-&-nagar-haveli-&-daman-&-diu,2018,1,daman district,18677
dadra-&-nagar-haveli-&-daman-&-diu,2018,1,dadra and nagar haveli district,32028
dadra-&-nagar-haveli-&-daman-&-diu,2018,2,diu district,3229
dadra-&-nagar-haveli-&-daman-&-diu,2018,2,daman district,25144
dadra-&-nagar-haveli-&-daman-&-diu,2018,2,dadra and nagar haveli district,43085
dadra-&-nagar-haveli-&-daman-&-diu,2018,3,diu district,3830
dadra-&-nagar-haveli-&-daman-&-diu,2018,3,daman district,32651
dadra-&-nagar-haveli-&-daman-&-diu,2018,3,dadra and nagar haveli district,55626
dadra-&-nagar-haveli-&-daman-&-diu,2018,4,diu district,4609
dadra-&-nagar-haveli-&-daman-&-diu,2018,4,daman district,42069
dadra-&-nagar-haveli-&-daman-&-diu,2018,4,dadra and nagar haveli district,69833
dadra-&-nagar-haveli-&-daman-&-diu,2019,1,diu district,5452
dadra-&-nagar-haveli-&-daman-&-diu,2019,1,daman district,51093
dadra-&-nagar-haveli-&-daman-&-diu,2019,1,dadra and nagar haveli district,83987
dadra-&-nagar-haveli-&-daman-&-diu,2019,2,diu district,6193
dadra-&-nagar-haveli-&-daman-&-diu,2019,2,daman district,58005
dadra-&-nagar-haveli-&-daman-&-diu,2019,2,dadra and nagar haveli district,94382
dadra-&-nagar-haveli-&-daman-&-diu,2019,3,diu district,6746
dadra-&-nagar-haveli-&-daman-&-diu,2019,3,daman district,64854
dadra-&-nagar-haveli-&-daman-&-diu,2019,3,dadra and nagar haveli district,105329
dadra-&-nagar-haveli-&-daman-&-diu,2019,4,diu district,7323
dadra-&-nagar-haveli-&-daman-&-diu,2019,4,daman district,72470
dadra-&-nagar-haveli-&-daman-&-diu,2019,4,dadra and nagar haveli district,117805
dadra-&-nagar-haveli-&-daman-&-diu,2020,1,diu district,7912
dadra-&-nagar-haveli-&-daman-&-diu,2020,1,daman district,80329
dadra-&-nagar-haveli-&-daman-&-diu,2020,1,dadra and nagar haveli district,130255
dadra-&-nagar-haveli-&-daman-&-diu,2020,2,diu district,8795
dadra-&-nagar-haveli-&-daman-&-diu,2020,2,daman district,90016
dadra-&-nagar-haveli-&-daman-&-diu,2020,2,dadra and nagar haveli district,146003
dadra-&-nagar-haveli-&-daman-&-diu,2020,3,diu district,9655
dadra-&-nagar-haveli-&-daman-&-diu,2020,3,daman district,98108
dadra-&-nagar-haveli-&-daman-&-diu,2020,3,dadra and nagar haveli district,160183
dadra-&-nagar-haveli-&-daman-&-diu,2020,4,diu district,10550
dadra-&-nagar-haveli-&-daman-&-diu,2020,4,daman district,108511
dadra-&-nagar-haveli-&-daman-&-diu,2020,4,dadra and nagar haveli district,177432
dadra-&-nagar-haveli-&-daman-&-diu,2021,1,diu district,11406
dadra-&-nagar-haveli-&-daman-&-diu,2021,1,daman district,117728
dadra-&-nagar-haveli-&-daman-&-diu,2021,1,dadra and nagar haveli district,192262
dadra-&-nagar-haveli-&-daman-&-diu,2021,2,diu district,12220
dadra-&-nagar-haveli-&-daman-&-diu,2021,2,daman district,126258
dadra-&-nagar-haveli-&-daman-&-diu,2021,2,dadra and nagar haveli district,206516
dadra-&-nagar-haveli-&-daman-&-diu,2021,3,diu district,13167
dadra-&-nagar-haveli-&-daman-&-diu,2021,3,daman district,135976
dadra-&-nagar-haveli-&-daman-&-diu,2021,3,dadra and nagar haveli district,222731
dadra-&-nagar-haveli-&-daman-&-diu,2021,4,diu district,14047
dadra-&-nagar-haveli-&-daman-&-diu,2021,4,daman district,145806
dadra-&-nagar-haveli-&-daman-&-diu,2021,4,dadra and nagar haveli district,239110
dadra-&-nagar-haveli-&-daman-&-diu,2022,1,diu district,14964
dadra-&-nagar-haveli-&-daman-&-diu,2022,1,daman district,155029
dadra-&-nagar-haveli-&-daman-&-diu,2022,1,dadra and nagar haveli district,254577
dadra-&-nagar-haveli-&-daman-&-diu,2022,2,diu district,15811
dadra-&-nagar-haveli-&-daman-&-diu,2022,2,daman district,163861
dadra-&-nagar-haveli-&-daman-&-diu,2022,2,dadra and nagar haveli district,269344
dadra-&-nagar-haveli-&-daman-&-diu,2022,3,diu district,16665
dadra-&-nagar-haveli-&-daman-&-diu,2022,3,daman district,173219
dadra-&-nagar-haveli-&-daman-&-diu,2022,3,dadra and nagar haveli district,284923
dadra-&-nagar-haveli-&-daman-&-diu,2022,4,diu district,17427
dadra-&-nagar-haveli-&-daman-&-diu,2022,4,daman district,182481
dadra-&-nagar-haveli-&-daman-&-diu,2022,4,dadra and nagar haveli district,300217
dadra-&-nagar-haveli-&-daman-&-diu,2023,1,diu district,18234
dadra-&-nagar-haveli-&-daman-&-diu,2023,1,daman district,191432
dadra-&-nagar-haveli-&-daman-&-diu,2023,1,dadra and nagar haveli district,314951
dadra-&-nagar-haveli-&-daman-&-diu,2023,2,diu district,18972
dadra-&-nagar-haveli-&-daman-&-diu,2023,2,daman district,199267
dadra-&-nagar-haveli-&-daman-&-diu,2023,2,dadra and nagar haveli district,328125
delhi,2018,1,south district,156706
delhi,2018,1,central district,202723
delhi,2018,1,new delhi district,212008
delhi,2018,1,west district,308558
delhi,2018,1,south west district,179197
delhi,2018,1,south east delhi district,251213
delhi,2018,1,shahdara district,114549
delhi,2018,1,north east district,95472
delhi,2018,1,east district,169295
delhi,2018,1,north west district,223679
delhi,2018,1,north district,173622
delhi,2018,2,south district,206935
delhi,2018,2,central district,267154
delhi,2018,2,new delhi district,282319
delhi,2018,2,west district,406877
delhi,2018,2,south west district,236789
delhi,2018,2,south east delhi district,333350
delhi,2018,2,shahdara district,152113
delhi,2018,2,north east district,127159
delhi,2018,2,east district,221449
delhi,2018,2,north west district,294038
delhi,2018,2,north district,227958
delhi,2018,3,south district,264628
delhi,2018,3,central district,340549
delhi,2018,3,new delhi district,363140
delhi,2018,3,west district,515854
delhi,2018,3,south west district,297663
delhi,2018,3,south east delhi district,423177
delhi,2018,3,shahdara district,192430
delhi,2018,3,north east district,159566
delhi,2018,3,east district,280847
delhi,2018,3,north west district,376806
delhi,2018,3,north district,290251
delhi,2018,4,south district,344311
delhi,2018,4,central district,446787
delhi,2018,4,new delhi district,470991
delhi,2018,4,west district,686653
delhi,2018,4,south west district,393208
delhi,2018,4,south east delhi district,564640
delhi,2018,4,shahdara district,257785
delhi,2018,4,north east district,216694
delhi,2018,4,east district,373139
delhi,2018,4,north west district,496928
delhi,2018,4,north district,379177
delhi,2019,1,south district,407519
delhi,2019,1,central district,529918
delhi,2019,1,new delhi district,558516
delhi,2019,1,west district,820526
delhi,2019,1,south west district,467571
delhi,2019,1,south east delhi district,671667
delhi,2019,1,shahdara district,310351
delhi,2019,1,north east district,262131
delhi,2019,1,east district,439639
delhi,2019,1,north west district,583438
delhi,2019,1,north district,447987
delhi,2019,2,south district,453829
delhi,2019,2,central district,596940
delhi,2019,2,new delhi district,637526
delhi,2019,2,west district,919096
delhi,2019,2,south west district,519422
delhi,2019,2,south east delhi district,749218
delhi,2019,2,shahdara district,352312
delhi,2019,2,north east district,298037
delhi,2019,2,east district,487121
delhi,2019,2,north west district,649377
delhi,2019,2,north district,502570
delhi,2019,3,south district,498200
delhi,2019,3,central district,658985
delhi,2019,3,new delhi district,705546
delhi,2019,3,west district,1008836
delhi,2019,3,south west district,567496
delhi,2019,3,south east delhi district,821304
delhi,2019,3,shahdara district,391827
delhi,2019,3,north east district,334361
delhi,2019,3,east district,532254
delhi,2019,3,north west district,709448
delhi,2019,3,north district,554029
delhi,2019,4,south district,533716
delhi,2019,4,central district,711015
delhi,2019,4,new delhi district,757888
delhi,2019,4,west district,1081496
delhi,2019,4,south west district,605482
delhi,2019,4,south east delhi district,883080
delhi,2019,4,shahdara district,425305
delhi,2019,4,north east district,366088
delhi,2019,4,east district,568283
delhi,2019,4,north west district,758620
delhi,2019,4,north district,598910
delhi,2020,1,south district,570329
delhi,2020,1,central district,765149
delhi,2020,1,new delhi district,810489
delhi,2020,1,west district,1160353
delhi,2020,1,south west district,644981
delhi,2020,1,south east delhi district,947535
delhi,2020,1,shahdara district,460186
delhi,2020,1,north east district,399504
delhi,2020,1,east district,604768
delhi,2020,1,north west district,814249
delhi,2020,1,north district,648654
delhi,2020,2,south district,608062
delhi,2020,2,central district,821609
delhi,2020,2,new delhi district,858515
delhi,2020,2,west district,1243875
delhi,2020,2,south west district,688199
delhi,2020,2,south east delhi district,1011931
delhi,2020,2,shahdara district,498710
delhi,2020,2,north east district,437601
delhi,2020,2,east district,641233
delhi,2020,2,north west district,877218
delhi,2020,2,north district,704186
delhi,2020,3,south district,651616
delhi,2020,3,central district,888536
delhi,2020,3,new delhi district,912051
delhi,2020,3,west district,1343895
delhi,2020,3,south west district,739034
delhi,2020,3,south east delhi district,1088989
delhi,2020,3,shahdara district,543831
delhi,2020,3,north east district,479924
delhi,2020,3,east district,685955
delhi,2020,3,north west district,946954
delhi,2020,3,north district,763389
delhi,2020,4,south district,699303
delhi,2020,4,central district,962750
delhi,2020,4,new delhi district,971715
delhi,2020,4,west district,1451042
delhi,2020,4,south west district,792331
delhi,2020,4,south east delhi district,1174221
delhi,2020,4,shahdara district,591192
delhi,2020,4,north east district,525117
delhi,2020,4,east district,734091
delhi,2020,4,north west district,1019187
delhi,2020,4,north district,827019
delhi,2021,1,south district,749173
delhi,2021,1,central district,1035060
delhi,2021,1,new delhi district,1039016
delhi,2021,1,west district,1559112
delhi,2021,1,south west district,849223
delhi,2021,1,south east delhi district,1260645
delhi,2021,1,shahdara district,636908
delhi,2021,1,north east district,567107
delhi,2021,1,east district,786308
delhi,2021,1,north west district,1094464
delhi,2021,1,north district,890194
delhi,2021,2,south district,799590
delhi,2021,2,central district,1105640
delhi,2021,2,new delhi district,1108471
delhi,2021,2,west district,1666267
delhi,2021,2,south west district,906878
delhi,2021,2,south east delhi district,1346063
delhi,2021,2,shahdara district,681073
delhi,2021,2,north east district,607021
delhi,2021,2,east district,839185
delhi,2021,2,north west district,1170137
delhi,2021,2,north district,952374
delhi,2021,3,south district,855177
delhi,2021,3,central district,1184217
delhi,2021,3,new delhi district,1185588
delhi,2021,3,west district,1785309
delhi,2021,3,south west district,971552
delhi,2021,3,south east delhi district,1441462
delhi,2021,3,shahdara district,730209
delhi,2021,3,north east district,651695
delhi,2021,3,east district,898137
delhi,2021,3,north west district,1254464
delhi,2021,3,north district,1022251
delhi,2021,4,south district,911399
delhi,2021,4,central district,1263911
delhi,2021,4,new delhi district,1263818
delhi,2021,4,west district,1905278
delhi,2021,4,south west district,1036466
delhi,2021,4,south east delhi district,1537814
delhi,2021,4,shahdara district,779798
delhi,2021,4,north east district,696743
delhi,2021,4,east district,957392
delhi,2021,4,north west district,1339480
delhi,2021,4,north district,1093028
delhi,2022,1,south district,963775
delhi,2022,1,central district,1338465
delhi,2022,1,new delhi district,1336911
delhi,2022,1,west district,2017435
delhi,2022,1,south west district,1097016
delhi,2022,1,south east delhi district,1628157
delhi,2022,1,shahdara district,826148
delhi,2022,1,north east district,739301
delhi,2022,1,east district,1013024
delhi,2022,1,north west district,1419688
delhi,2022,1,north district,1159277
delhi,2022,2,south district,1013938
delhi,2022,2,central district,1409776
delhi,2022,2,new delhi district,1406687
delhi,2022,2,west district,2124626
delhi,2022,2,south west district,1155288
delhi,2022,2,south east delhi district,1714507
delhi,2022,2,shahdara district,870461
delhi,2022,2,north east district,779621
delhi,2022,2,east district,1066632
delhi,2022,2,north west district,1496002
delhi,2022,2,north district,1222605
delhi,2022,3,south district,1065631
delhi,2022,3,central district,1483786
delhi,2022,3,new delhi district,1479669
delhi,2022,3,west district,2235907
delhi,2022,3,south west district,1215697
delhi,2022,3,south east delhi district,1804123
delhi,2022,3,shahdara district,917096
delhi,2022,3,north east district,822038
delhi,2022,3,east district,1121596
delhi,2022,3,north west district,1575473
delhi,2022,3,north district,1288507
delhi,2022,4,south district,1117981
delhi,2022,4,central district,1558400
delhi,2022,4,new delhi district,1552874
delhi,2022,4,west district,2348063
delhi,2022,4,south west district,1275864
delhi,2022,4,south east delhi district,1894776
delhi,2022,4,shahdara district,963656
delhi,2022,4,north east district,864990
delhi,2022,4,east district,1177294
delhi,2022,4,north west district,1655730
delhi,2022,4,north district,1354521
delhi,2023,1,south district,1167338
delhi,2023,1,central district,1629248
delhi,2023,1,new delhi district,1622600
delhi,2023,1,west district,2453869
delhi,2023,1,south west district,1333347
delhi,2023,1,south east delhi district,1980915
delhi,2023,1,shahdara district,1007880
delhi,2023,1,north east district,906036
delhi,2023,1,east district,1230290
delhi,2023,1,north west district,1731494
delhi,2023,1,north district,1416994
delhi,2023,2,south district,1209741
delhi,2023,2,central district,1690547
delhi,2023,2,new delhi district,1682305
delhi,2023,2,west district,2546575
delhi,2023,2,south west district,1383364
delhi,2023,2,south east delhi district,2055408
delhi,2023,2,shahdara district,1046614
delhi,2023,2,north east district,942089
delhi,2023,2,east district,1275831
delhi,2023,2,north west district,1798636
delhi,2023,2,north district,1471979
goa,2018,1,north goa district,57769
goa,2018,1,south goa district,34167
goa,2018,2,north goa district,76192
goa,2018,2,south goa district,45982
goa,2018,3,north goa district,95307
goa,2018,3,south goa district,58495
goa,2018,4,north goa district,121001
goa,2018,4,south goa district,74349
goa,2019,1,north goa district,147802
goa,2019,1,south goa district,90350
goa,2019,2,north goa district,173002
goa,2019,2,south goa district,105938
goa,2019,3,north goa district,197361
goa,2019,3,south goa district,119833
goa,2019,4,north goa district,220385
goa,2019,4,south goa district,133161
goa,2020,1,north goa district,244309
goa,2020,1,south goa district,147591
goa,2020,2,north goa district,267533
goa,2020,2,south goa district,163106
goa,2020,3,north goa district,294195
goa,2020,3,south goa district,180767
goa,2020,4,north goa district,326479
goa,2020,4,south goa district,201105
goa,2021,1,north goa district,352593
goa,2021,1,south goa district,217442
goa,2021,2,north goa district,376703
goa,2021,2,south goa district,232403
goa,2021,3,north goa district,403952
goa,2021,3,south goa district,249506
goa,2021,4,north goa district,430814
goa,2021,4,south goa district,266364
goa,2022,1,north goa district,456250
goa,2022,1,south goa district,282378
goa,2022,2,north goa district,480353
goa,2022,2,south goa district,297426
goa,2022,3,north goa district,504946
goa,2022,3,south goa district,312884
goa,2022,4,north goa district,527826
goa,2022,4,south goa district,327376
goa,2023,1,north goa district,550554
goa,2023,1,south goa district,341631
goa,2023,2,north goa district,571111
goa,2023,2,south goa district,354909
gujarat,2018,1,anand district,68052
gujarat,2018,1,jamnagar district,52416
gujarat,2018,1,devbhumi dwarka district,15809
gujarat,2018,1,rajkot district,133017
gujarat,2018,1,aravallis district,21932
gujarat,2018,1,chhotaudepur district,6581
gujarat,2018,1,botad district,23738
gujarat,2018,1,bharuch district,101575
gujarat,2018,1,bhavnagar district,87683
gujarat,2018,1,junagadh district,35171
gujarat,2018,1,mahesana district,97004
gujarat,2018,1,the dangs district,2285
gujarat,2018,1,kheda district,43776
gujarat,2018,1,surat district,489852
gujarat,2018,1,porbandar district,12401
gujarat,2018,1,gandhinagar district,118201
gujarat,2018,1,panch mahals district,32263
gujarat,2018,1,narmada district,6464
gujarat,2018,1,gir somnath district,28292
gujarat,2018,1,valsad district,80138
gujarat,2018,1,mahisagar district,11048
gujarat,2018,1,sabar kantha district,45018
gujarat,2018,1,tapi district,14231
gujarat,2018,1,vadodara district,205722
gujarat,2018,1,banas kantha district,93506
gujarat,2018,1,amreli district,31443
gujarat,2018,1,ahmadabad district,572811
gujarat,2018,1,dohad district,16212
gujarat,2018,1,navsari district,35437
gujarat,2018,1,patan district,41580
gujarat,2018,1,kachchh district,97838
gujarat,2018,1,surendranagar district,38223
gujarat,2018,1,morbi district,30329
gujarat,2018,2,anand district,90911
gujarat,2018,2,jamnagar district,68512
gujarat,2018,2,devbhumi dwarka district,20804
gujarat,2018,2,rajkot district,174778
gujarat,2018,2,aravallis district,29047
gujarat,2018,2,chhotaudepur district,9053
gujarat,2018,2,botad district,32883
gujarat,2018,2,bharuch district,134500
gujarat,2018,2,bhavnagar district,115812
gujarat,2018,2,junagadh district,46665
gujarat,2018,2,mahesana district,127614
gujarat,2018,2,the dangs district,3047
gujarat,2018,2,kheda district,60097
gujarat,2018,2,surat district,652372
gujarat,2018,2,porbandar district,16137
gujarat,2018,2,gandhinagar district,155539
gujarat,2018,2,panch mahals district,42575
gujarat,2018,2,narmada district,8940
gujarat,2018,2,gir somnath district,37769
gujarat,2018,2,valsad district,107556
gujarat,2018,2,mahisagar district,15010
gujarat,2018,2,sabar kantha district,59955
gujarat,2018,2,tapi district,19255
gujarat,2018,2,vadodara district,271730
gujarat,2018,2,banas kantha district,125849
gujarat,2018,2,amreli district,42021
gujarat,2018,2,ahmadabad district,751746
gujarat,2018,2,dohad district,21983
gujarat,2018,2,navsari district,47911
gujarat,2018,2,patan district,55482
gujarat,2018,2,kachchh district,128064
gujarat,2018,2,surendranagar district,51527
gujarat,2018,2,morbi district,40681
gujarat,2018,3,anand district,116188
gujarat,2018,3,jamnagar district,84886
gujarat,2018,3,devbhumi dwarka district,26394
gujarat,2018,3,rajkot district,215459
gujarat,2018,3,aravallis district,37199
gujarat,2018,3,chhotaudepur district,12302
gujarat,2018,3,botad district,40559
gujarat,2018,3,bharuch district,169322
gujarat,2018,3,bhavnagar district,141243
gujarat,2018,3,junagadh district,57716
gujarat,2018,3,mahesana district,157274
gujarat,2018,3,the dangs district,4052
gujarat,2018,3,kheda district,80213
gujarat,2018,3,surat district,808005
gujarat,2018,3,porbandar district,19921
gujarat,2018,3,gandhinagar district,190882
gujarat,2018,3,panch mahals district,53825
gujarat,2018,3,narmada district,11957
gujarat,2018,3,gir somnath district,47541
gujarat,2018,3,valsad district,136470
gujarat,2018,3,mahisagar district,19564
gujarat,2018,3,sabar kantha district,74642
gujarat,2018,3,tapi district,25095
gujarat,2018,3,vadodara district,335125
gujarat,2018,3,banas kantha district,159591
gujarat,2018,3,amreli district,53845
gujarat,2018,3,ahmadabad district,919252
gujarat,2018,3,dohad district,28857
gujarat,2018,3,navsari district,60676
gujarat,2018,3,patan district,68979
gujarat,2018,3,kachchh district,158762
gujarat,2018,3,surendranagar district,65325
gujarat,2018,3,morbi district,52062
gujarat,2018,4,anand district,146258
gujarat,2018,4,jamnagar district,103876
gujarat,2018,4,devbhumi dwarka district,32660
gujarat,2018,4,rajkot district,260602
gujarat,2018,4,aravallis district,46665
gujarat,2018,4,chhotaudepur district,16321
gujarat,2018,4,botad district,49066
gujarat,2018,4,bharuch district,211843
gujarat,2018,4,bhavnagar district,173699
gujarat,2018,4,junagadh district,70174
gujarat,2018,4,mahesana district,192493
gujarat,2018,4,the dangs district,5165
gujarat,2018,4,kheda district,103292
gujarat,2018,4,surat district,998807
gujarat,2018,4,porbandar district,24373
gujarat,2018,4,gandhinagar district,242368
gujarat,2018,4,panch mahals district,68139
gujarat,2018,4,narmada district,15550
gujarat,2018,4,gir somnath district,58991
gujarat,2018,4,valsad district,172711
gujarat,2018,4,mahisagar district,25483
gujarat,2018,4,sabar kantha district,91898
gujarat,2018,4,tapi district,31929
gujarat,2018,4,vadodara district,421895
gujarat,2018,4,banas kantha district,197774
gujarat,2018,4,amreli district,67020
gujarat,2018,4,ahmadabad district,1212636
gujarat,2018,4,dohad district,36773
gujarat,2018,4,navsari district,75930
gujarat,2018,4,patan district,84408
gujarat,2018,4,kachchh district,195295
gujarat,2018,4,surendranagar district,80167
gujarat,2018,4,morbi district,64779
gujarat,2019,1,anand district,175515
gujarat,2019,1,jamnagar district,121494
gujarat,2019,1,devbhumi dwarka district,38898
gujarat,2019,1,rajkot district,304415
gujarat,2019,1,aravallis district,56005
gujarat,2019,1,chhotaudepur district,20287
gujarat,2019,1,botad district,58126
gujarat,2019,1,bharuch district,252826
gujarat,2019,1,bhavnagar district,203617
gujarat,2019,1,junagadh district,82263
gujarat,2019,1,mahesana district,230403
gujarat,2019,1,the dangs district,6307
gujarat,2019,1,kheda district,124598
gujarat,2019,1,surat district,1180819
gujarat,2019,1,porbandar district,28860
gujarat,2019,1,gandhinagar district,291858
gujarat,2019,1,panch mahals district,81863
gujarat,2019,1,narmada district,19105
gujarat,2019,1,gir somnath district,69872
gujarat,2019,1,valsad district,209477
gujarat,2019,1,mahisagar district,31147
gujarat,2019,1,sabar kantha district,109651
gujarat,2019,1,tapi district,39195
gujarat,2019,1,vadodara district,502520
gujarat,2019,1,banas kantha district,239613
gujarat,2019,1,amreli district,79690
gujarat,2019,1,ahmadabad district,1450100
gujarat,2019,1,dohad district,45141
gujarat,2019,1,navsari district,91812
gujarat,2019,1,patan district,101323
gujarat,2019,1,kachchh district,231871
gujarat,2019,1,surendranagar district,95904
gujarat,2019,1,morbi district,77961
gujarat,2019,2,anand district,200007
gujarat,2019,2,jamnagar district,138108
gujarat,2019,2,devbhumi dwarka district,44975
gujarat,2019,2,rajkot district,345178
gujarat,2019,2,aravallis district,64792
gujarat,2019,2,chhotaudepur district,23917
gujarat,2019,2,botad district,65918
gujarat,2019,2,bharuch district,284296
gujarat,2019,2,bhavnagar district,230394
gujarat,2019,2,junagadh district,94221
gujarat,2019,2,mahesana district,259949
gujarat,2019,2,the dangs district,7532
gujarat,2019,2,kheda district,144091
gujarat,2019,2,surat district,1338584
gujarat,2019,2,porbandar district,33374
gujarat,2019,2,gandhinagar district,333056
gujarat,2019,2,panch mahals district,92621
gujarat,2019,2,narmada district,22503
gujarat,2019,2,gir somnath district,79786
gujarat,2019,2,valsad district,238764
gujarat,2019,2,mahisagar district,36155
gujarat,2019,2,sabar kantha district,123754
gujarat,2019,2,tapi district,45441
gujarat,2019,2,vadodara district,572031
gujarat,2019,2,banas kantha district,271379
gujarat,2019,2,amreli district,91819
gujarat,2019,2,ahmadabad district,1656341
gujarat,2019,2,dohad district,52197
