State,Year,Quarter,District,RegisteredUser
andhra-pradesh,2018,3,west godavari district,349782
andhra-pradesh,2018,3,chittoor district,515727
andhra-pradesh,2018,4,east godavari district,694455
andhra-pradesh,2018,4,srikakulam district,284874
andhra-pradesh,2018,4,visakhapatnam district,978288
andhra-pradesh,2018,4,prakasam district,394962
andhra-pradesh,2018,4,anantapur district,510892
andhra-pradesh,2018,4,kurnool district,498582
andhra-pradesh,2018,4,guntur district,659552
andhra-pradesh,2018,4,krishna district,682479
andhra-pradesh,2018,4,spsr nellore district,407495
andhra-pradesh,2018,4,vizianagaram district,257824
andhra-pradesh,2018,4,ysr district,387058
andhra-pradesh,2018,4,west godavari district,435668
andhra-pradesh,2018,4,chittoor district,665280
andhra-pradesh,2019,1,east godavari district,839277
andhra-pradesh,2019,1,srikakulam district,345775
andhra-pradesh,2019,1,visakhapatnam district,1174517
andhra-pradesh,2019,1,prakasam district,474260
andhra-pradesh,2019,1,anantapur district,612162
andhra-pradesh,2019,1,kurnool district,599422
andhra-pradesh,2019,1,guntur district,802394
andhra-pradesh,2019,1,krishna district,833694
andhra-pradesh,2019,1,spsr nellore district,491908
andhra-pradesh,2019,1,vizianagaram district,313334
andhra-pradesh,2019,1,ysr district,460590
andhra-pradesh,2019,1,west godavari district,523372
andhra-pradesh,2019,1,chittoor district,812314
andhra-pradesh,2019,2,east godavari district,945181
andhra-pradesh,2019,2,srikakulam district,392764
andhra-pradesh,2019,2,visakhapatnam district,1318740
andhra-pradesh,2019,2,prakasam district,539462
andhra-pradesh,2019,2,anantapur district,695114
andhra-pradesh,2019,2,kurnool district,680118
andhra-pradesh,2019,2,guntur district,915256
andhra-pradesh,2019,2,krishna district,952300
andhra-pradesh,2019,2,spsr nellore district,558303
andhra-pradesh,2019,2,vizianagaram district,355058
andhra-pradesh,2019,2,ysr district,519031
andhra-pradesh,2019,2,west godavari district,592185
andhra-pradesh,2019,2,chittoor district,925491
andhra-pradesh,2019,3,east godavari district,1057167
andhra-pradesh,2019,3,srikakulam district,437939
andhra-pradesh,2019,3,visakhapatnam district,1460464
andhra-pradesh,2019,3,prakasam district,598568
andhra-pradesh,2019,3,anantapur district,773656
andhra-pradesh,2019,3,kurnool district,755024
andhra-pradesh,2019,3,guntur district,1026418
andhra-pradesh,2019,3,krishna district,1066546
andhra-pradesh,2019,3,spsr nellore district,619592
andhra-pradesh,2019,3,vizianagaram district,394375
andhra-pradesh,2019,3,ysr district,574109
andhra-pradesh,2019,3,west godavari district,662102
andhra-pradesh,2019,3,chittoor district,1032733
andhra-pradesh,2019,4,east godavari district,1195228
andhra-pradesh,2019,4,srikakulam district,496266
andhra-pradesh,2019,4,visakhapatnam district,1620235
andhra-pradesh,2019,4,prakasam district,673522
andhra-pradesh,2019,4,anantapur district,873033
andhra-pradesh,2019,4,kurnool district,846885
andhra-pradesh,2019,4,guntur district,1158708
andhra-pradesh,2019,4,krishna district,1199971
andhra-pradesh,2019,4,spsr nellore district,697154
andhra-pradesh,2019,4,vizianagaram district,443810
andhra-pradesh,2019,4,ysr district,646642
andhra-pradesh,2019,4,west godavari district,750078
andhra-pradesh,2019,4,chittoor district,1156351
andhra-pradesh,2020,1,east godavari district,1329664
andhra-pradesh,2020,1,srikakulam district,552007
andhra-pradesh,2020,1,visakhapatnam district,1763581
andhra-pradesh,2020,1,prakasam district,748655
andhra-pradesh,2020,1,anantapur district,971850
andhra-pradesh,2020,1,kurnool district,936293
andhra-pradesh,2020,1,guntur district,1289678
andhra-pradesh,2020,1,krishna district,1331602
andhra-pradesh,2020,1,spsr nellore district,775440
andhra-pradesh,2020,1,vizianagaram district,490683
andhra-pradesh,2020,1,ysr district,717865
andhra-pradesh,2020,1,west godavari district,843835
andhra-pradesh,2020,1,chittoor district,1270907
andhra-pradesh,2020,2,east godavari district,1459116
andhra-pradesh,2020,2,srikakulam district,608002
andhra-pradesh,2020,2,visakhapatnam district,1904719
andhra-pradesh,2020,2,prakasam district,830709
andhra-pradesh,2020,2,anantapur district,1076953
andhra-pradesh,2020,2,kurnool district,1035093
andhra-pradesh,2020,2,guntur district,1426271
andhra-pradesh,2020,2,krishna district,1459041
andhra-pradesh,2020,2,spsr nellore district,854459
andhra-pradesh,2020,2,vizianagaram district,537798
andhra-pradesh,2020,2,ysr district,796769
andhra-pradesh,2020,2,west godavari district,944829
andhra-pradesh,2020,2,chittoor district,1385916
andhra-pradesh,2020,3,east godavari district,1601940
andhra-pradesh,2020,3,srikakulam district,667858
andhra-pradesh,2020,3,visakhapatnam district,2058346
andhra-pradesh,2020,3,prakasam district,915240
andhra-pradesh,2020,3,anantapur district,1186851
andhra-pradesh,2020,3,kurnool district,1132240
andhra-pradesh,2020,3,guntur district,1567595
andhra-pradesh,2020,3,krishna district,1599289
andhra-pradesh,2020,3,spsr nellore district,937176
andhra-pradesh,2020,3,vizianagaram district,587784
andhra-pradesh,2020,3,ysr district,877909
